plant name,growth,soil,sunlight,watering,fertilization type,image_url
aloe vera,slow,sandy,indirect sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Aloe_vera_flower_inset.png/500px-Aloe_vera_flower_inset.png
basil,fast,well-drained,full sunlight,keep soil evenly moist,organic,https://bs.plantnet.org/image/o/eaf722de31333a8724b4bb72c8d51959530fae56
snake plant,slow,well-drained,indirect sunlight,water when soil is dry,no,
lavender,moderate,sandy,full sunlight,let soil dry between watering,no,https://bs.plantnet.org/image/o/010ffc8860641c73888c8664743f1527d284f258
cactus,slow,sandy,full sunlight,let soil dry between watering,low-nitrogen,https://bs.plantnet.org/image/o/47d4f01e2bc2c2db602fce38f864a40309f5f293
rosemary,moderate,well-drained,full sunlight,let soil dry between watering,no,https://bs.plantnet.org/image/o/45c47e31c6a0c5378581f0bc89c0b44405868dd1
mint,fast,well-drained,partial sunlight,keep soil consistently moist,balanced,
thyme,moderate,sandy,full sunlight,let soil dry between watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Thyme-Bundle.jpg/500px-Thyme-Bundle.jpg
peace lily,moderate,well-drained,indirect sunlight,water when soil feels dry,balanced,https://bs.plantnet.org/image/o/75a1c264295a0f3ec1f613f397c249ecc4840d38
spider plant,moderate,loamy,indirect sunlight,keep soil slightly moist,balanced,https://upload.wikimedia.org/wikipedia/commons/3/3a/Spiderplant1.jpg
parsley,moderate,well-drained,partial sunlight,keep soil consistently moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Petroselinum.jpg/500px-Petroselinum.jpg
fern (boston),moderate,well-drained,indirect sunlight,water when topsoil is dry,organic,
bamboo palm,slow,well-drained,indirect sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/c1727abff447db3c5db9857f343f61272880c0a1
money plant,moderate,well-drained,indirect sunlight,water when topsoil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Epipremnum_aureum_31082012.jpg/500px-Epipremnum_aureum_31082012.jpg
jade plant,slow,sandy,indirect sunlight,water when soil is dry,low-nitrogen,
orchids,moderate,well-drained,indirect sunlight,water weekly,balanced,
cilantro,fast,well-drained,full sunlight,keep soil moist,balanced,
dill,moderate,sandy,full sunlight,keep soil evenly moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Illustration_Anethum_graveolens_clean.jpg/500px-Illustration_Anethum_graveolens_clean.jpg
chives,fast,well-drained,full sunlight,keep soil moist,balanced,https://bs.plantnet.org/image/o/5e033417dbfff7e86535bd7f431bb4162804a0c9
oregano,moderate,sandy,full sunlight,water when topsoil is dry,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Origanum_vulgare_-_harilik_pune.jpg/500px-Origanum_vulgare_-_harilik_pune.jpg
pothos,fast,well-drained,indirect sunlight,water when soil is dry,balanced,
rubber plant,moderate,well-drained,indirect sunlight,water when soil feels dry,balanced,
bougainvillea,fast,well-drained,full sunlight,water when soil is dry,low-nitrogen,https://bs.plantnet.org/image/o/1fa4dec70b727efbb1ea39a10ba07d5191fd299c
fiddle leaf fig,slow,well-drained,indirect sunlight,water when topsoil is dry,balanced,
sage,moderate,well-drained,full sunlight,let soil dry between watering,organic,https://bs.plantnet.org/image/o/ba565945528a0f63276ac76495e7e1cd3d47e127
cosmos,fast,sandy,full sunlight,water when soil feels dry,organic,https://bs.plantnet.org/image/o/fc0185dbcca0268d312c135072bd92c22546f18c
geranium,moderate,well-drained,full sunlight,water when soil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Geranium_February_2008-1.jpg/500px-Geranium_February_2008-1.jpg
marigold,fast,well-drained,full sunlight,water when soil is dry,balanced,
zinnia,fast,well-drained,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Zinnia_single_layer_and_12_Petals_2.jpg/500px-Zinnia_single_layer_and_12_Petals_2.jpg
hibiscus,moderate,well-drained,full sunlight,water when topsoil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Hibiscus_flower_TZ.jpg/500px-Hibiscus_flower_TZ.jpg
begonia,moderate,well-drained,indirect sunlight,keep soil moist,organic,https://bs.plantnet.org/image/o/23fc827e48f1b8d27ba238d91eea4d31233ba9f0
chrysanthemum,fast,well-drained,full sunlight,water when soil feels dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Chrysanthemum_nangkingense.jpg/500px-Chrysanthemum_nangkingense.jpg
daffodil,slow,well-drained,full sunlight,water weekly,balanced,
sunflower,fast,well-drained,full sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/e92bdbc5adc4e91cc0c5aa8e9f102833a28bc6e3
tulip,slow,sandy,full sunlight,water when soil is dry,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG/500px-%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%9D.JPG
peony,slow,well-drained,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/PaeoniaSuffruticosa7.jpg/500px-PaeoniaSuffruticosa7.jpg
jasmine,moderate,loamy,full sunlight,water weekly,organic,https://bs.plantnet.org/image/o/799816cf93b96cb5b89aae91b012150459cfb84a
ivy,moderate,well-drained,indirect sunlight,keep soil slightly moist,balanced,https://storage.googleapis.com/powop-assets/kew_profiles/Hedera-helix_fullsize.jpg
nasturtium,fast,well-drained,full sunlight,water weekly,organic,
petunia,fast,well-drained,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Petunia_exserta_by_Scott_Zona_-_004_%281%29.jpg/500px-Petunia_exserta_by_Scott_Zona_-_004_%281%29.jpg
carnation,moderate,well-drained,full sunlight,water when soil is dry,low-nitrogen,
snapdragon,fast,well-drained,full sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/c5c8dac3844100da8f8b77b58274c421914febc6
pansy,moderate,well-drained,partial sunlight,keep soil evenly moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/PansyScan_%28cropped%29.jpg/500px-PansyScan_%28cropped%29.jpg
sweet pea,fast,loamy,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sweet_Pea-7.jpg/500px-Sweet_Pea-7.jpg
morning glory,fast,well-drained,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ipomoea_tricolor_%27Heavenly_Blue%27.jpg/500px-Ipomoea_tricolor_%27Heavenly_Blue%27.jpg
verbena,moderate,sandy,full sunlight,water weekly,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Eisenkraut%2C_Passau.JPG/500px-Eisenkraut%2C_Passau.JPG
gerbera daisy,moderate,well-drained,full sunlight,water weekly,balanced,
anemone,moderate,well-drained,partial sunlight,keep soil evenly moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Anemones5.jpg/500px-Anemones5.jpg
hyacinth,moderate,loamy,full sunlight,water weekly,low-nitrogen,https://bs.plantnet.org/image/o/5854119576866163bdb4d5c86cc3e3caf89287a3
crocus,slow,well-drained,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/860808-Saffronfarm-01-IMG_7707-2.jpg/500px-860808-Saffronfarm-01-IMG_7707-2.jpg
dandelion,fast,well-drained,full sunlight,water weekly,organic,
foxglove,moderate,well-drained,partial sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/5b87208f7ae140dad0f09facc46b511839273c0b
bluebell,moderate,well-drained,partial sunlight,keep soil slightly moist,organic,
camellia,slow,acidic,partial sunlight,water weekly,acidic,https://bs.plantnet.org/image/o/9d779bbb1fe7a0c0744d60b2cd18131fb7750bfc
poppy,moderate,well-drained,full sunlight,water when soil is dry,low-nitrogen,https://bs.plantnet.org/image/o/6057fb60a84bf6f683a5c5560846d8bb0f5c1f6d
magnolia,slow,acidic,full sunlight,water when soil is dry,acidic,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Magnolia_sieboldii_flower_1.jpg/500px-Magnolia_sieboldii_flower_1.jpg
bougainvillea,moderate,acidic,full sunlight,let soil dry between watering,low-nitrogen,https://bs.plantnet.org/image/o/1fa4dec70b727efbb1ea39a10ba07d5191fd299c
holly,slow,acidic,partial sunlight,water weekly,acidic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Ilex-aquifolium_%28Europaeische_Stechpalme-1%29.jpg/500px-Ilex-aquifolium_%28Europaeische_Stechpalme-1%29.jpg
gardenia,slow,acidic,indirect sunlight,water weekly,acidic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Gardeniaflower.jpg/500px-Gardeniaflower.jpg
azalea,moderate,acidic,partial sunlight,keep soil moist,acidic,
clivia,moderate,well-drained,indirect sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/a/ac/Cliviaminiata2.jpg
tulsi (holy basil),fast,well-drained,full sunlight,keep soil moist,balanced,
chrysanthemum,moderate,well-drained,full sunlight,water when soil feels dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Chrysanthemum_nangkingense.jpg/500px-Chrysanthemum_nangkingense.jpg
canna lily,fast,well-drained,full sunlight,water weekly,balanced,
dahlia,moderate,well-drained,full sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/c2eca2a169fd0398f1163404804ede794cf11027
daisy,moderate,sandy,full sunlight,water weekly,low-nitrogen,https://bs.plantnet.org/image/o/43061c6c2cb49908503eac2eaec0ddab69958e17
eucalyptus,slow,sandy,full sunlight,water when soil feels dry,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Eucalyptus_tereticornis_flowers%2C_capsules%2C_buds_and_foliage.jpeg/500px-Eucalyptus_tereticornis_flowers%2C_capsules%2C_buds_and_foliage.jpeg
lotus,moderate,loamy,full sunlight,keep soil consistently moist,balanced,https://bs.plantnet.org/image/o/4823e692a96bddde7865d48654891c193625482f
bamboo,moderate,acidic,partial sunlight,keep soil moist,acidic,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Bamboo_forest.jpg/500px-Bamboo_forest.jpg
orchid cactus,slow,sandy,indirect sunlight,water weekly,low-nitrogen,
bromeliad,moderate,well-drained,indirect sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/0b85640d858a14f20a93d7a6796b3ab59fac9d91
succulent,slow,sandy,full sunlight,water when soil is dry,low-nitrogen,
iris,moderate,well-drained,full sunlight,water weekly,balanced,
lotus bamboo,slow,well-drained,indirect sunlight,water weekly,organic,
hosta,moderate,well-drained,partial sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hosta_Bressingham_Blue.JPG/500px-Hosta_Bressingham_Blue.JPG
echeveria,slow,sandy,indirect sunlight,water when soil is dry,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Echeveria_elegans_-_1.jpg/500px-Echeveria_elegans_-_1.jpg
catmint,moderate,well-drained,full sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/1cf932657bc80b42c8c9a8f5fbdafcee4ef8605d
coneflower,moderate,sandy,full sunlight,water weekly,balanced,
lamb's ear,moderate,sandy,full sunlight,water weekly,balanced,
petunia,fast,well-drained,full sunlight,water when soil feels dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Petunia_exserta_by_Scott_Zona_-_004_%281%29.jpg/500px-Petunia_exserta_by_Scott_Zona_-_004_%281%29.jpg
snapdragon,moderate,sandy,full sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/c5c8dac3844100da8f8b77b58274c421914febc6
alyssum,fast,sandy,full sunlight,water weekly,organic,https://bs.plantnet.org/image/o/6cf01b02c5792d54d84d068ac2de515bfa543450
pansy,moderate,well-drained,partial sunlight,keep soil moist,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/PansyScan_%28cropped%29.jpg/500px-PansyScan_%28cropped%29.jpg
fuchsia,slow,well-drained,indirect sunlight,water weekly,organic,https://bs.plantnet.org/image/o/1b5333130f60456428da7aa2e55aa037d2fa87df
impatiens,moderate,well-drained,indirect sunlight,keep soil moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Impatiens_scapiflora.jpg/500px-Impatiens_scapiflora.jpg
nasturtium,fast,sandy,full sunlight,water weekly,organic,
begonia,moderate,well-drained,indirect sunlight,keep soil evenly moist,balanced,https://bs.plantnet.org/image/o/23fc827e48f1b8d27ba238d91eea4d31233ba9f0
dianthus,moderate,sandy,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Dianthus_caryophyllus_L_%28Clove_pink%29.JPG/500px-Dianthus_caryophyllus_L_%28Clove_pink%29.JPG
verbena,fast,well-drained,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Eisenkraut%2C_Passau.JPG/500px-Eisenkraut%2C_Passau.JPG
phlox,moderate,well-drained,full sunlight,water when soil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Phlox_Paniculata.jpg/500px-Phlox_Paniculata.jpg
lobelia,fast,well-drained,indirect sunlight,water weekly,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Lobelia_%28aka%29.jpg/500px-Lobelia_%28aka%29.jpg
geranium,moderate,sandy,full sunlight,water when soil is dry,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Geranium_February_2008-1.jpg/500px-Geranium_February_2008-1.jpg
salvia,moderate,sandy,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Salvia_officinalis0.jpg/500px-Salvia_officinalis0.jpg
zinnia,fast,sandy,full sunlight,water weekly,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Zinnia_single_layer_and_12_Petals_2.jpg/500px-Zinnia_single_layer_and_12_Petals_2.jpg
morning glory,fast,sandy,full sunlight,water when soil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ipomoea_tricolor_%27Heavenly_Blue%27.jpg/500px-Ipomoea_tricolor_%27Heavenly_Blue%27.jpg
hollyhock,moderate,well-drained,full sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/2e24f65dc007e4bdd8025fb5084082fbe12b94f0
aster,moderate,well-drained,full sunlight,water weekly,low-nitrogen,
sunflower,fast,sandy,full sunlight,water when soil is dry,low-nitrogen,https://bs.plantnet.org/image/o/e92bdbc5adc4e91cc0c5aa8e9f102833a28bc6e3
black-eyed susan,moderate,sandy,full sunlight,water weekly,balanced,
dahlia,moderate,well-drained,full sunlight,water weekly,low-nitrogen,https://bs.plantnet.org/image/o/c2eca2a169fd0398f1163404804ede794cf11027
marigold,fast,sandy,full sunlight,water when soil is dry,low-nitrogen,
sweet pea,moderate,well-drained,full sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sweet_Pea-7.jpg/500px-Sweet_Pea-7.jpg
calendula,moderate,sandy,full sunlight,water weekly,low-nitrogen,https://bs.plantnet.org/image/o/b3eb301c46e71b508cf06ce459fd83c487859907
candytuft,moderate,sandy,full sunlight,water weekly,low-nitrogen,https://bs.plantnet.org/image/o/3de7b3356d6550480b09c8dfae061aa29f8b3274
larkspur,moderate,well-drained,partial sunlight,water weekly,balanced,
shasta daisy,moderate,sandy,full sunlight,water weekly,low-nitrogen,
periwinkle,moderate,sandy,full sunlight,water weekly,low-nitrogen,
coral bells,moderate,well-drained,partial sunlight,water weekly,low-nitrogen,
bleeding heart,slow,well-drained,partial sunlight,keep soil moist,organic,
sweet alyssum,fast,sandy,full sunlight,water weekly,low-nitrogen,
balloon flower,moderate,sandy,full sunlight,water weekly,low-nitrogen,
japanese anemone,moderate,well-drained,partial sunlight,water weekly,balanced,
veronica,moderate,sandy,full sunlight,water weekly,low-nitrogen,
sedum,slow,sandy,full sunlight,water when soil is dry,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Sedum_acre_single_-_Niitv%C3%A4lja.jpg/500px-Sedum_acre_single_-_Niitv%C3%A4lja.jpg
helenium,moderate,sandy,full sunlight,water weekly,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/1/1f/Helenium_autumnale1.jpg
astilbe,moderate,well-drained,partial sunlight,keep soil moist,organic,https://upload.wikimedia.org/wikipedia/commons/e/e8/Astilbe_arendsii1.jpg
coreopsis,fast,sandy,full sunlight,water when soil is dry,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Coreopsisgigantea.jpg/500px-Coreopsisgigantea.jpg
columbine,moderate,well-drained,partial sunlight,water weekly,balanced,
globe thistle,moderate,sandy,full sunlight,water when soil is dry,low-nitrogen,https://bs.plantnet.org/image/o/31e096c0ef69029f2ee224758c202a47dce7630c
lupine,moderate,sandy,full sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/ece96cfac3d1ab5ea3007a46810b50370a260f48
blanket flower,fast,sandy,full sunlight,water when soil is dry,low-nitrogen,
toad lily,slow,well-drained,partial sunlight,keep soil moist,organic,
russian sage,slow,sandy,full sunlight,water when soil is dry,low-nitrogen,
bee balm,moderate,well-drained,partial sunlight,keep soil moist,organic,
speedwell,moderate,sandy,full sunlight,water weekly,low-nitrogen,https://bs.plantnet.org/image/o/4272996963a1f8aee895317d376edacb2a4111bb
catnip,fast,sandy,full sunlight,water when topsoil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Catnip_flowers.jpg/500px-Catnip_flowers.jpg
lavender,slow,sandy,full sunlight,water when soil is dry,organic,https://bs.plantnet.org/image/o/010ffc8860641c73888c8664743f1527d284f258
rosemary,slow,sandy,full sunlight,water when soil is dry,organic,https://bs.plantnet.org/image/o/45c47e31c6a0c5378581f0bc89c0b44405868dd1
thyme,slow,sandy,full sunlight,water when soil is dry,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Thyme-Bundle.jpg/500px-Thyme-Bundle.jpg
sage,slow,sandy,full sunlight,water weekly,organic,https://bs.plantnet.org/image/o/ba565945528a0f63276ac76495e7e1cd3d47e127
parsley,moderate,well-drained,partial sunlight,keep soil evenly moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Petroselinum.jpg/500px-Petroselinum.jpg
cilantro,fast,well-drained,full sunlight,keep soil moist,organic,
dill,moderate,sandy,full sunlight,water weekly,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Illustration_Anethum_graveolens_clean.jpg/500px-Illustration_Anethum_graveolens_clean.jpg
chives,fast,well-drained,full sunlight,keep soil evenly moist,organic,https://bs.plantnet.org/image/o/5e033417dbfff7e86535bd7f431bb4162804a0c9
oregano,slow,sandy,full sunlight,water when soil is dry,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Origanum_vulgare_-_harilik_pune.jpg/500px-Origanum_vulgare_-_harilik_pune.jpg
tarragon,slow,sandy,full sunlight,water weekly,organic,https://upload.wikimedia.org/wikipedia/commons/6/6c/Estragon_1511.jpg
bay laurel,slow,sandy,partial sunlight,water weekly,organic,
lemon balm,moderate,well-drained,partial sunlight,water weekly,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Lemon_balm_plant.jpg/500px-Lemon_balm_plant.jpg
fennel,moderate,sandy,full sunlight,water weekly,organic,https://bs.plantnet.org/image/o/201ab26c5329eb6583e52176b48c2bfe0cb3e13e
chamomile,moderate,sandy,full sunlight,water weekly,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Kamomillasaunio_%28Matricaria_recutita%29.JPG/500px-Kamomillasaunio_%28Matricaria_recutita%29.JPG
tarragon,moderate,sandy,full sunlight,water weekly,organic,https://upload.wikimedia.org/wikipedia/commons/6/6c/Estragon_1511.jpg
lemongrass,fast,well-drained,full sunlight,water weekly,organic,https://bs.plantnet.org/image/o/5fe1b21e3f9ff0169dcc52e0629adb14a983ea3e
stevia,slow,well-drained,partial sunlight,water weekly,organic,https://bs.plantnet.org/image/o/4f42b1092f405ed577c94baa1e7938afad636127
