plant name,growth,soil,sunlight,watering,fertilization type,image_url
basil,fast,loamy,full sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/eaf722de31333a8724b4bb72c8d51959530fae56
ficus benjamina,moderate,well-drained,indirect sunlight,water when soil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Starr-080608-7576-Ficus_benjamina-habit_with_Laysan_albatross-Gym_Sand_Island-Midway_Atoll_%2824823189861%29.jpg/500px-Starr-080608-7576-Ficus_benjamina-habit_with_Laysan_albatross-Gym_Sand_Island-Midway_Atoll_%2824823189861%29.jpg
dahlia,fast,loamy,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/c2eca2a169fd0398f1163404804ede794cf11027
mimosa,fast,loamy,full sunlight,"regular, moist soil",no,https://bs.plantnet.org/image/o/a2b911fc3378735b04a5079d4ee111101eee0ed9
lavender (english),moderate,sandy,full sunlight,let soil dry between watering,balanced,
petunia,fast,well-drained,full sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Petunia_exserta_by_Scott_Zona_-_004_%281%29.jpg/500px-Petunia_exserta_by_Scott_Zona_-_004_%281%29.jpg
zucchini,fast,well-drained,full sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/CSA-Striped-Zucchini.jpg/500px-CSA-Striped-Zucchini.jpg
chili pepper,fast,loamy,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Madame_Jeanette_and_other_chillies.jpg/500px-Madame_Jeanette_and_other_chillies.jpg
radish,fast,well-drained,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Radish_3371103037_4ab07db0bf_o.jpg/500px-Radish_3371103037_4ab07db0bf_o.jpg
sunflower,fast,well-drained,full sunlight,regular watering,balanced,https://bs.plantnet.org/image/o/e92bdbc5adc4e91cc0c5aa8e9f102833a28bc6e3
grape vine,moderate,acidic,full sunlight,"regular, well-drained soil",balanced,
cherry blossom,slow,well-drained,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sakura_and_Moss_Pink_-_%E6%A1%9C%28%E3%81%95%E3%81%8F%E3%82%89%29%E3%81%A8%E8%8A%9D%E6%A1%9C%28%E3%81%97%E3%81%B0%E3%81%96%E3%81%8F%E3%82%89%29.jpg/500px-Sakura_and_Moss_Pink_-_%E6%A1%9C%28%E3%81%95%E3%81%8F%E3%82%89%29%E3%81%A8%E8%8A%9D%E6%A1%9C%28%E3%81%97%E3%81%B0%E3%81%96%E3%81%8F%E3%82%89%29.jpg
begonia,moderate,well-drained,indirect sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/23fc827e48f1b8d27ba238d91eea4d31233ba9f0
peony,moderate,loamy,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/PaeoniaSuffruticosa7.jpg/500px-PaeoniaSuffruticosa7.jpg
marigold,fast,sandy,full sunlight,"regular, well-drained soil",balanced,
coleus,moderate,loamy,partial sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/074429d98f5ad8e4d792cd856900d26e485798a8
jasmine,moderate,loamy,full sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/799816cf93b96cb5b89aae91b012150459cfb84a
gardenia,moderate,acidic,indirect sunlight,"regular, moist soil",no,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Gardeniaflower.jpg/500px-Gardeniaflower.jpg
pine,slow,sandy,full sunlight,water when soil feels dry,balanced,https://bs.plantnet.org/image/o/55565bba8d5b8656b46cd8d7c82a2c24fc706d9f
lily of the valley,slow,acidic,partial sunlight,"regular, moist soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Convallaria_majalis_inflorescence_-_Keila.jpg/500px-Convallaria_majalis_inflorescence_-_Keila.jpg
hops,fast,well-drained,full sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Humulus_Lupulus_Hopfendolde-mit-hopfengarten.jpg/500px-Humulus_Lupulus_Hopfendolde-mit-hopfengarten.jpg
cabbage,fast,well-drained,full sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/8078949488c936fb807a242f530d344489a3127e
tomato,fast,well-drained,full sunlight,regular watering,organic,https://bs.plantnet.org/image/o/400851a79391dbe6f667c66e4bf70299e9921853
bergamot,moderate,loamy,partial sunlight,"regular, moist soil",balanced,
crocus,slow,sandy,full sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/860808-Saffronfarm-01-IMG_7707-2.jpg/500px-860808-Saffronfarm-01-IMG_7707-2.jpg
wisteria,slow,well-drained,full sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Chinese_Wisteria_Bl%C3%BCtentrauben.JPG/500px-Chinese_Wisteria_Bl%C3%BCtentrauben.JPG
cilantro,fast,loamy,full sunlight,"regular, moist soil",balanced,
strawberry,moderate,sandy,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_single2.jpg/500px-Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_single2.jpg
sage,fast,sandy,full sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/ba565945528a0f63276ac76495e7e1cd3d47e127
dandelion,fast,well-drained,full sunlight,"regular, moist soil",balanced,
lobelia,fast,well-drained,partial sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Lobelia_%28aka%29.jpg/500px-Lobelia_%28aka%29.jpg
chrysanthemum,fast,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Chrysanthemum_nangkingense.jpg/500px-Chrysanthemum_nangkingense.jpg
poppy,moderate,sandy,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/6057fb60a84bf6f683a5c5560846d8bb0f5c1f6d
snapdragon,fast,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/c5c8dac3844100da8f8b77b58274c421914febc6
borage,fast,well-drained,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Borago_officinalis_%282025%29.jpg/500px-Borago_officinalis_%282025%29.jpg
lemon balm,moderate,loamy,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Lemon_balm_plant.jpg/500px-Lemon_balm_plant.jpg
sweet pea,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Sweet_Pea-7.jpg/500px-Sweet_Pea-7.jpg
raspberry,moderate,acidic,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/3b3a54636d4be030d9ac190474415f3a2f3d7e6b
hibiscus,fast,loamy,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Hibiscus_flower_TZ.jpg/500px-Hibiscus_flower_TZ.jpg
fennel,fast,well-drained,full sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/201ab26c5329eb6583e52176b48c2bfe0cb3e13e
cornflower,moderate,well-drained,full sunlight,"regular, moist soil",balanced,
pineapple,slow,sandy,full sunlight,water weekly,organic,https://bs.plantnet.org/image/o/863fd4215e55ca1067808f44115724a20cf8a72a
lavender (french),moderate,sandy,full sunlight,let soil dry between watering,balanced,
acorn squash,moderate,loamy,full sunlight,regular watering,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Starr_070730-7820_Cucurbita_pepo.jpg/500px-Starr_070730-7820_Cucurbita_pepo.jpg
apple tree,slow,sandy,full sunlight,water weekly,balanced,
bamboo orchid,moderate,well-drained,indirect sunlight,keep soil moist,organic,https://bs.plantnet.org/image/o/98abaedd2f0a48f27bcc9f38ce609e84f4fce334
balsam,fast,moist,full sunlight,regular watering,organic,https://bs.plantnet.org/image/o/6a37f2f284b24e5c1e0f10ede739dcae53933e62
banana plant,fast,moist,full sunlight,water weekly,balanced,
beetroot,moderate,sandy,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Detroitdarkredbeets.png/500px-Detroitdarkredbeets.png
bellflower,moderate,well-drained,full sunlight,regular watering,balanced,
blackcurrant,moderate,acidic,full sunlight,keep soil moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ribes_nigrum_a1.JPG/500px-Ribes_nigrum_a1.JPG
bok choy,fast,loamy,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Bok_Choy_%2849553125456%29.jpg/500px-Bok_Choy_%2849553125456%29.jpg
brassica,moderate,moist,full sunlight,regular watering,low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Brassica_rapa_plant.jpg/500px-Brassica_rapa_plant.jpg
butternut squash,moderate,sandy,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Cucurbita_moschata_Butternut_2012_G2.jpg/500px-Cucurbita_moschata_Butternut_2012_G2.jpg
cabbage,moderate,moist,full sunlight,regular watering,balanced,https://bs.plantnet.org/image/o/8078949488c936fb807a242f530d344489a3127e
calendula,fast,well-drained,full sunlight,water when topsoil is dry,organic,https://bs.plantnet.org/image/o/b3eb301c46e71b508cf06ce459fd83c487859907
camellia,slow,acidic,partial sunlight,keep soil moist,organic,https://bs.plantnet.org/image/o/9d779bbb1fe7a0c0744d60b2cd18131fb7750bfc
carrot,moderate,sandy,full sunlight,regular watering,organic,https://bs.plantnet.org/image/o/051631f859a3a433e2954747fa1bdb6bc09a0e66
catmint,moderate,well-drained,full sunlight,regular watering,balanced,https://bs.plantnet.org/image/o/1cf932657bc80b42c8c9a8f5fbdafcee4ef8605d
chayote,fast,well-drained,full sunlight,regular watering,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Chayote_BNC.jpg/500px-Chayote_BNC.jpg
cherry blossom,slow,well-drained,full sunlight,keep soil moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sakura_and_Moss_Pink_-_%E6%A1%9C%28%E3%81%95%E3%81%8F%E3%82%89%29%E3%81%A8%E8%8A%9D%E6%A1%9C%28%E3%81%97%E3%81%B0%E3%81%96%E3%81%8F%E3%82%89%29.jpg/500px-Sakura_and_Moss_Pink_-_%E6%A1%9C%28%E3%81%95%E3%81%8F%E3%82%89%29%E3%81%A8%E8%8A%9D%E6%A1%9C%28%E3%81%97%E3%81%B0%E3%81%96%E3%81%8F%E3%82%89%29.jpg
chestnut,slow,well-drained,full sunlight,regular watering,organic,https://bs.plantnet.org/image/o/8afca894bf65eb85fff3d8251d0c4ba1d638149f
clementine,moderate,loamy,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Clementines_whole%2C_peeled%2C_half_and_sectioned.jpg/500px-Clementines_whole%2C_peeled%2C_half_and_sectioned.jpg
clove,slow,sandy,full sunlight,keep soil consistently moist,organic,https://bs.plantnet.org/image/o/e6e3e00f3f5922f142ccdf2043b6b6e5b009cdc1
cocoa tree,moderate,moist,full sunlight,regular watering,low-nitrogen,
corn,fast,loamy,full sunlight,regular watering,balanced,
cucumber,fast,sandy,full sunlight,keep soil consistently moist,organic,https://bs.plantnet.org/image/o/6d90d18a0ca76aa1ff0653e5b29b7b0381006e58
currant,moderate,acidic,full sunlight,keep soil consistently moist,organic,https://bs.plantnet.org/image/o/ed6fc4996fdc8db944c6f86891ce894b1ed69d95
dandelion,fast,loamy,full sunlight,regular watering,low-nitrogen,
date palm,slow,sandy,full sunlight,water when soil is dry,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Dates005.jpg/500px-Dates005.jpg
dragon fruit,fast,sandy,full sunlight,regular watering,balanced,
eggplant,moderate,loamy,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Solanum_melongena_24_08_2012_%281%29.JPG/500px-Solanum_melongena_24_08_2012_%281%29.JPG
elderberry,fast,moist,full sunlight,regular watering,organic,
fennel,fast,loamy,full sunlight,regular watering,low-nitrogen,https://bs.plantnet.org/image/o/201ab26c5329eb6583e52176b48c2bfe0cb3e13e
fig tree,moderate,sandy,full sunlight,regular watering,balanced,
grape vine,moderate,loamy,full sunlight,regular watering,balanced,
green bean,fast,well-drained,full sunlight,regular watering,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Heaps_of_beans.jpg/500px-Heaps_of_beans.jpg
hops,fast,loamy,full sunlight,keep soil moist,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Humulus_Lupulus_Hopfendolde-mit-hopfengarten.jpg/500px-Humulus_Lupulus_Hopfendolde-mit-hopfengarten.jpg
jackfruit,moderate,well-drained,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Jackfruit_hanging.JPG/500px-Jackfruit_hanging.JPG
jasmine (indoor),moderate,well-drained,indirect sunlight,keep soil moist,low-nitrogen,
jatropha,moderate,sandy,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Redflowers8.jpg/500px-Redflowers8.jpg
kiwi,fast,loamy,full sunlight,keep soil moist,organic,
lady's mantle,moderate,loamy,partial sunlight,keep soil moist,organic,
lemon tree,slow,sandy,full sunlight,regular watering,organic,
litchi,moderate,well-drained,full sunlight,regular watering,organic,
lychee,moderate,well-drained,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Litchi_chinensis_fruits.JPG/500px-Litchi_chinensis_fruits.JPG
mallow,fast,loamy,full sunlight,regular watering,organic,
mango,moderate,sandy,full sunlight,regular watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mangos_-_single_and_halved.jpg/500px-Mangos_-_single_and_halved.jpg
moringa,fast,sandy,full sunlight,regular watering,organic,
mulberry,moderate,well-drained,full sunlight,regular watering,organic,
mustard,fast,loamy,full sunlight,regular watering,balanced,https://bs.plantnet.org/image/o/fae60e3afe0acd686e3faea77c6dbb7521935afc
nectarine,slow,loamy,full sunlight,regular watering,organic,https://bs.plantnet.org/image/o/00cd0bde54fab8516159612bdb865626ad9100b8
olive tree,moderate,sandy,full sunlight,water when soil is dry,balanced,
acacia,fast,sandy,full sunlight,let soil dry between watering,organic,https://bs.plantnet.org/image/o/656dde71846bf3c7d5ff6ae81162364f4776ab1e
acanthus,moderate,loamy,partial sunlight,"regular, moist soil",organic,
alstroemeria,slow,loamy,partial sunlight,water when topsoil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Alstroemeria_aurantiaca.jpg/500px-Alstroemeria_aurantiaca.jpg
amaranth,fast,loamy,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Amaranthus_tricolor0.jpg/500px-Amaranthus_tricolor0.jpg
anigozanthos (kangaroo paw),moderate,sandy,full sunlight,let soil dry between watering,balanced,
anthurium,slow,moist,indirect sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Anthurium3.JPG/500px-Anthurium3.JPG
aquilegia (columbine),moderate,loamy,partial sunlight,let soil dry between watering,organic,
arum lily,moderate,moist,partial sunlight,"regular, moist soil",balanced,
aztec lily,slow,sandy,partial sunlight,let soil dry between watering,organic,
balsam,fast,loamy,partial sunlight,"regular, moist soil",low-nitrogen,https://bs.plantnet.org/image/o/6a37f2f284b24e5c1e0f10ede739dcae53933e62
barberry,moderate,sandy,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/4d668b45deca9a522dbfa34b223a30217b7a2d7d
bellflower,moderate,loamy,partial sunlight,"regular, moist soil",low-nitrogen,
bougainvillea,fast,sandy,full sunlight,let soil dry between watering,organic,https://bs.plantnet.org/image/o/1fa4dec70b727efbb1ea39a10ba07d5191fd299c
brachychiton (bottle tree),slow,well-drained,full sunlight,"regular, moist soil",balanced,
brassica,fast,loamy,full sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Brassica_rapa_plant.jpg/500px-Brassica_rapa_plant.jpg
calla lily,moderate,moist,partial sunlight,"regular, moist soil",organic,
camellia,slow,acidic,partial sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/9d779bbb1fe7a0c0744d60b2cd18131fb7750bfc
cananga (ylang-ylang),moderate,loamy,full sunlight,"regular, well-drained soil",organic,
carrot plant,moderate,sandy,full sunlight,"regular, well-drained soil",balanced,
cestrum,moderate,loamy,partial sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Ruhr-Uni-Bochum-0024.JPG/500px-Ruhr-Uni-Bochum-0024.JPG
chayote,fast,well-drained,full sunlight,"regular, moist soil",no,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Chayote_BNC.jpg/500px-Chayote_BNC.jpg
chestnut,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/8afca894bf65eb85fff3d8251d0c4ba1d638149f
cineraria,moderate,moist,partial sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/386a10e745378b80075ba718c9b5f6fdb6c7a975
cockscomb (celosia),moderate,well-drained,full sunlight,water when topsoil is dry,organic,
coneflower,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,
coreopsis,fast,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Coreopsisgigantea.jpg/500px-Coreopsisgigantea.jpg
cress,fast,moist,full sunlight,"regular, moist soil",balanced,
croton,moderate,well-drained,full sunlight,"regular, moist soil",balanced,
cyclamen,moderate,moist,indirect sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/21dabd7eef67c8a017a782373ba74ca357656320
daffodil,moderate,well-drained,full sunlight,"regular, moist soil",organic,
dahlia,fast,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen,https://bs.plantnet.org/image/o/c2eca2a169fd0398f1163404804ede794cf11027
date palm,slow,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Dates005.jpg/500px-Dates005.jpg
devilï¿½s ivy,moderate,well-drained,indirect sunlight,"regular, moist soil",organic,
dianthus,moderate,well-drained,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Dianthus_caryophyllus_L_%28Clove_pink%29.JPG/500px-Dianthus_caryophyllus_L_%28Clove_pink%29.JPG
echinacea,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/EchinaceaPurpureaMaxima1a.UME.JPG/500px-EchinaceaPurpureaMaxima1a.UME.JPG
elderberry,fast,well-drained,full sunlight,"regular, well-drained soil",organic,
fennel,fast,well-drained,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/201ab26c5329eb6583e52176b48c2bfe0cb3e13e
ficus microcarpa,moderate,well-drained,partial sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Ficus_microcarpa_-_La_Gomera_01.jpg/500px-Ficus_microcarpa_-_La_Gomera_01.jpg
foxglove,moderate,well-drained,partial sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/5b87208f7ae140dad0f09facc46b511839273c0b
gardenia,slow,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Gardeniaflower.jpg/500px-Gardeniaflower.jpg
grape vine,fast,well-drained,full sunlight,"regular, well-drained soil",organic,
guava,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Guava_pink_fruit.jpg/500px-Guava_pink_fruit.jpg
heliotrope,moderate,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen,
hops,fast,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Humulus_Lupulus_Hopfendolde-mit-hopfengarten.jpg/500px-Humulus_Lupulus_Hopfendolde-mit-hopfengarten.jpg
