plant name,growth,soil,sunlight,watering,fertilization type,image_url
ixia,moderate,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Ixia_African_Corn_Lilies.jpg/500px-Ixia_African_Corn_Lilies.jpg
jacaranda,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jacaranda_cuspidifolia_flower.jpg/500px-Jacaranda_cuspidifolia_flower.jpg
jatropha,fast,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Redflowers8.jpg/500px-Redflowers8.jpg
jasmine (indoor),moderate,moist,indirect sunlight,"regular, moist soil",low-nitrogen,
kalanchoe,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/45bd6f6ae8a9371019506b05ee1d8cf86a63a0ec
kiwi vine,fast,well-drained,full sunlight,"regular, well-drained soil",organic,
knautia,moderate,well-drained,full sunlight,"regular, well-drained soil",no,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Acker-Witwenblume_Knautia_arvensis.jpg/500px-Acker-Witwenblume_Knautia_arvensis.jpg
lavender (french),slow,well-drained,full sunlight,"regular, well-drained soil",organic,
lemon balm,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Lemon_balm_plant.jpg/500px-Lemon_balm_plant.jpg
lemon tree,moderate,well-drained,full sunlight,"regular, moist soil",balanced,
liatris,moderate,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Liatris_spicata_Purple.jpg/500px-Liatris_spicata_Purple.jpg
lilac,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,
lobelia,moderate,moist,partial sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Lobelia_%28aka%29.jpg/500px-Lobelia_%28aka%29.jpg
luffa,fast,well-drained,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/d8441a0b2ebeae62cba0cdc6d171e0ba1780c428
magnolia,slow,well-drained,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Magnolia_sieboldii_flower_1.jpg/500px-Magnolia_sieboldii_flower_1.jpg
malva (mallow),moderate,well-drained,full sunlight,"regular, well-drained soil",organic,
mango,slow,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Mangos_-_single_and_halved.jpg/500px-Mangos_-_single_and_halved.jpg
maranta (prayer plant),moderate,moist,indirect sunlight,"regular, moist soil",balanced,
mimosa,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/a2b911fc3378735b04a5079d4ee111101eee0ed9
morning glory,fast,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ipomoea_tricolor_%27Heavenly_Blue%27.jpg/500px-Ipomoea_tricolor_%27Heavenly_Blue%27.jpg
moringa,fast,well-drained,full sunlight,"regular, well-drained soil",organic,
nasturtium,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,
neoregalia (bromeliad),moderate,moist,indirect sunlight,"regular, moist soil",balanced,
nettle,fast,well-drained,full sunlight,"regular, well-drained soil",organic,
olive tree,slow,well-drained,full sunlight,"regular, well-drained soil",balanced,
oregano,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Origanum_vulgare_-_harilik_pune.jpg/500px-Origanum_vulgare_-_harilik_pune.jpg
passionflower,fast,well-drained,full sunlight,"regular, well-drained soil",organic,
peony,slow,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/PaeoniaSuffruticosa7.jpg/500px-PaeoniaSuffruticosa7.jpg
pepper plant,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,
periwinkle,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,
phlox,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Phlox_Paniculata.jpg/500px-Phlox_Paniculata.jpg
pomegranate,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/67563697e6f51079fd804833ac0ec22b58f35992
potato vine,fast,well-drained,full sunlight,"regular, well-drained soil",balanced,
pothos (golden pathos),moderate,well-drained,indirect sunlight,"regular, moist soil",balanced,
protea,slow,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Protea_repens_bush.jpg/500px-Protea_repens_bush.jpg
purslane,fast,well-drained,full sunlight,"regular, well-drained soil",balanced,
quince,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://bs.plantnet.org/image/o/09d1080ca5b6971b6bc14c9339c87f4d392c4938
red hot poker (kniphofia),moderate,well-drained,full sunlight,"regular, well-drained soil",organic,
red-leafed maple,slow,well-drained,partial sunlight,"regular, well-drained soil",balanced,
rhododendron,slow,acidic,partial sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/e63ee94a3a061b67d4ce2aa0c914c5f78f43810e
rudbeckia,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Rudbeckia_hirta_flower_closeup.jpg/500px-Rudbeckia_hirta_flower_closeup.jpg
sage,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/ba565945528a0f63276ac76495e7e1cd3d47e127
salvia,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Salvia_officinalis0.jpg/500px-Salvia_officinalis0.jpg
snowdrop,slow,well-drained,full sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/44bc564b4eadfd023e666e06f3ccfb4dc328bfc3
spider flower,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/da28ecf11ad47a8aad5cf545e8e0acc7e2261eaf
star jasmine,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/01f4b73d948e3be845757582985f2130c6c24efd
strawberry plant,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,
sweet basil,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,
sweet potato vine,fast,well-drained,full sunlight,"regular, well-drained soil",organic,
taro,moderate,moist,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Songe-R%C3%A9union.JPG/500px-Songe-R%C3%A9union.JPG
thyme,slow,well-drained,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Thyme-Bundle.jpg/500px-Thyme-Bundle.jpg
tiger lily,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,
tuberose,moderate,well-drained,full sunlight,"regular, well-drained soil",balanced,
verbena,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Eisenkraut%2C_Passau.JPG/500px-Eisenkraut%2C_Passau.JPG
violet,moderate,moist,indirect sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/57921622521891238430108caf451e7284d5786b
wisteria,fast,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Chinese_Wisteria_Bl%C3%BCtentrauben.JPG/500px-Chinese_Wisteria_Bl%C3%BCtentrauben.JPG
yucca,slow,loamy,full sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Yucca_elata_-_tmcelrath_01.jpg/500px-Yucca_elata_-_tmcelrath_01.jpg
zebra plant,moderate,moist,partial sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/AphelandraSquarrosa.jpg/500px-AphelandraSquarrosa.jpg
zephyranthes (rain lily),fast,acidic,full sunlight,"regular, moist soil",balanced,
bamboo orchid,moderate,loamy,indirect sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/98abaedd2f0a48f27bcc9f38ce609e84f4fce334
buckwheat,fast,sandy,full sunlight,"regular, moist soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Japanese_Buckwheat_Flower.JPG/500px-Japanese_Buckwheat_Flower.JPG
cabbage palm,moderate,sandy,full sunlight,water when topsoil is dry,organic,https://bs.plantnet.org/image/o/6d97349183c7e10c01df84ddd2c641fa63eee5e3
camelina,fast,loamy,full sunlight,"regular, moist soil",no,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Camelina_sativa_eF.jpg/500px-Camelina_sativa_eF.jpg
dandelion,fast,well-drained,full sunlight,"regular, moist soil",organic,
elderflower,moderate,well-drained,full sunlight,"regular, moist soil",no,
epazote,fast,moist,full sunlight,"regular, well-drained soil",organic,
fern (maidenhair),slow,moist,indirect sunlight,"regular, well-drained soil",organic,
galangal,moderate,well-drained,partial sunlight,"regular, moist soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Galangal.web.jpg/500px-Galangal.web.jpg
globe thistle,slow,moist,full sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/31e096c0ef69029f2ee224758c202a47dce7630c
hummingbird sage,moderate,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/82fca384e2e0d1e8ebaf7714caf6c072e2b8ce00
indian cress,moderate,moist,full sunlight,"regular, moist soil",low-nitrogen,
japanese maple,slow,well-drained,partial sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/607dc707c1858fb676308978386ea9a3a7952f2a
lacandonian,moderate,loamy,partial sunlight,"regular, moist soil",no,
lamb's ear,moderate,moist,full sunlight,"regular, moist soil",balanced,
lemon grass,fast,well-drained,full sunlight,"regular, moist soil",organic,
lilac bush,moderate,well-drained,full sunlight,"regular, moist soil",balanced,
mandevilla,fast,loamy,full sunlight,"regular, well-drained soil",balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mandevilla_sanderi_red_1.jpg/500px-Mandevilla_sanderi_red_1.jpg
marigold (african),fast,loamy,full sunlight,"regular, moist soil",organic,
mayapple,slow,well-drained,partial sunlight,"regular, moist soil",low-nitrogen,https://bs.plantnet.org/image/o/1669bef8ac2a8aee04435802b7347447e8f6575d
nandina (heavenly bamboo),moderate,well-drained,partial sunlight,"regular, well-drained soil",organic,
nutmeg,moderate,loamy,full sunlight,"regular, moist soil",organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Biji_Pala_Bubuk.jpg/500px-Biji_Pala_Bubuk.jpg
orchid (vanilla),slow,well-drained,indirect sunlight,"regular, well-drained soil",no,
peepal tree,slow,well-drained,full sunlight,"regular, moist soil",organic,
plumeria,moderate,loamy,full sunlight,"regular, well-drained soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Plumeria_rubra-4.JPG/500px-Plumeria_rubra-4.JPG
quaking aspen,moderate,well-drained,full sunlight,"regular, moist soil",organic,
quinoa,fast,loamy,full sunlight,"regular, well-drained soil",no,https://bs.plantnet.org/image/o/66b115ab5b821a9887d915d9483bd54376143faa
red maple,slow,well-drained,full sunlight,"regular, moist soil",balanced,https://bs.plantnet.org/image/o/c1023eba3ca60bfc8efadb3710586b9f8109d435
redwood,slow,moist,full sunlight,"regular, moist soil",low-nitrogen,https://bs.plantnet.org/image/o/ab78bfa38a7e6c52c4e52d365aeb74b9ae199702
river birch,moderate,well-drained,full sunlight,"regular, moist soil",balanced,
rose of sharon,moderate,moist,full sunlight,"regular, moist soil",balanced,
rosemary mint,moderate,well-drained,partial sunlight,"regular, well-drained soil",no,
sago palm,slow,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/e85a7396c534bf10e97f2b18c1107f92cf66a5ad
scabiosa (pincushion flower),moderate,loamy,full sunlight,"regular, moist soil",organic,
scilla,moderate,moist,full sunlight,"regular, moist soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Scille_%C3%A0_deux_feuilles_%28massif_des_Vosges%29.JPG/500px-Scille_%C3%A0_deux_feuilles_%28massif_des_Vosges%29.JPG
sedge,slow,well-drained,partial sunlight,"regular, well-drained soil",organic,
silene (catchfly),moderate,loamy,full sunlight,"regular, well-drained soil",no,
silverbell tree,moderate,moist,full sunlight,"regular, well-drained soil",organic,
soursop,fast,well-drained,full sunlight,"regular, moist soil",no,https://bs.plantnet.org/image/o/f6ef1c049e22764f3ee4906ec0ff472a1f4b43e6
stevia,fast,well-drained,full sunlight,"regular, moist soil",organic,https://bs.plantnet.org/image/o/4f42b1092f405ed577c94baa1e7938afad636127
sugarcane,fast,well-drained,full sunlight,"regular, well-drained soil",organic,https://bs.plantnet.org/image/o/1855281deafe89c21d5bed7dd54138919f8c9518
tansy,slow,loamy,full sunlight,"regular, moist soil",no,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg/500px-Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg
teak,slow,well-drained,full sunlight,"regular, well-drained soil",low-nitrogen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Starr_010304-0485_Tectona_grandis.jpg/500px-Starr_010304-0485_Tectona_grandis.jpg
themeda (kangaroo grass),fast,sandy,full sunlight,"regular, moist soil",organic,
tobacco plant,fast,loamy,full sunlight,"regular, well-drained soil",balanced,
tuberose (polianthes),moderate,well-drained,full sunlight,"regular, moist soil",organic,
water lily,slow,loamy,full sunlight,"regular, moist soil",no,
wattle,moderate,sandy,full sunlight,water when soil feels dry,no,
yew,slow,loamy,partial sunlight,water when topsoil is dry,balanced,https://bs.plantnet.org/image/o/1730a4cd97caf15de8527a196c4991813e0141a3
zea mays (corn),fast,loamy,full sunlight,keep soil consistently moist,low-nitrogen,
zebra grass,moderate,well-drained,partial sunlight,keep soil consistently moist,low-nitrogen,
zoysia grass,slow,sandy,full sunlight,water weekly,organic,
achillea (yarrow),moderate,well-drained,full sunlight,let soil dry between watering,balanced,
ageratum,fast,loamy,partial sunlight,keep soil slightly moist,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Ageratum_corymbosum_%28Asteraceae%29_-_Cielitos.jpg/500px-Ageratum_corymbosum_%28Asteraceae%29_-_Cielitos.jpg
angelonia,moderate,well-drained,full sunlight,keep soil consistently moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Maypurpleflower.jpg/500px-Maypurpleflower.jpg
armeria (thrift),slow,sandy,full sunlight,water when soil is dry,low-nitrogen,
bearded iris,slow,sandy,partial sunlight,keep soil evenly moist,balanced,
bergamot,moderate,loamy,partial sunlight,water when soil is dry,balanced,
bigleaf hydrangea,moderate,acidic,full sunlight,keep soil consistently moist,organic,
black currant,moderate,loamy,partial sunlight,water when soil feels dry,organic,https://bs.plantnet.org/image/o/2f9222009f115ed0da7f8f597de09f77a3eee996
black-eyed susan,fast,loamy,full sunlight,water when topsoil is dry,low-nitrogen,
blazing star,moderate,loamy,full sunlight,water when soil is dry,organic,
bloodroot,slow,moist,partial sunlight,keep soil slightly moist,organic,
bluebell,slow,moist,partial sunlight,water when soil feels dry,organic,
borage,fast,loamy,full sunlight,keep soil consistently moist,no,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Borago_officinalis_%282025%29.jpg/500px-Borago_officinalis_%282025%29.jpg
calendula,fast,loamy,full sunlight,water weekly,organic,https://bs.plantnet.org/image/o/b3eb301c46e71b508cf06ce459fd83c487859907
california poppy,fast,sandy,full sunlight,water when soil is dry,organic,
carob tree,slow,well-drained,full sunlight,water when soil is dry,balanced,
catmint,moderate,well-drained,full sunlight,keep soil consistently moist,balanced,https://bs.plantnet.org/image/o/1cf932657bc80b42c8c9a8f5fbdafcee4ef8605d
chives,fast,loamy,full sunlight,keep soil evenly moist,low-nitrogen,https://bs.plantnet.org/image/o/5e033417dbfff7e86535bd7f431bb4162804a0c9
chinese lantern plant,moderate,loamy,partial sunlight,water when soil feels dry,balanced,
clematis,moderate,well-drained,partial sunlight,keep soil consistently moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Clematis_%27Nelly_Moser%27.JPG/500px-Clematis_%27Nelly_Moser%27.JPG
clover,fast,loamy,full sunlight,water when topsoil is dry,no,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/79_Trifolium_repens_L.jpg/500px-79_Trifolium_repens_L.jpg
coltsfoot,slow,moist,partial sunlight,water when soil is dry,low-nitrogen,https://bs.plantnet.org/image/o/da90d727cf75a6d32a222cc589162d81392517d4
daffodils,slow,loamy,full sunlight,keep soil consistently moist,organic,
daisy fleabane,moderate,loamy,partial sunlight,water weekly,low-nitrogen,https://bs.plantnet.org/image/o/6ca945386171048df4d6c6686ddb8cd021350758
dogwood tree,slow,loamy,partial sunlight,keep soil consistently moist,low-nitrogen,
dragonfruit cactus,moderate,well-drained,full sunlight,let soil dry between watering,no,
engelmann spruce,slow,well-drained,full sunlight,water when soil feels dry,balanced,
fairy lantern,moderate,loamy,partial sunlight,keep soil slightly moist,balanced,
fritillaria,slow,well-drained,partial sunlight,water when soil is dry,no,https://upload.wikimedia.org/wikipedia/commons/6/68/Fritillaria_meleagris0.jpg
galax,moderate,moist,partial sunlight,keep soil evenly moist,no,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Galax_urceolata.jpg/500px-Galax_urceolata.jpg
ginkgo,slow,loamy,full sunlight,water when topsoil is dry,balanced,https://bs.plantnet.org/image/o/4861a76aa6e4d31127986aee10f29450f72d981f
grape hyacinth,fast,loamy,full sunlight,keep soil consistently moist,organic,
guar,fast,sandy,full sunlight,water when soil is dry,no,https://upload.wikimedia.org/wikipedia/commons/9/9b/Cluster_bean-guar-Cyamopsis_psoralioides-Cyamopsis_tetragonolobus-TAMIL_NADU73.jpg
gumwood tree,moderate,loamy,partial sunlight,water when soil is dry,organic,
goldenrods,moderate,loamy,full sunlight,keep soil moist,organic,
goldenseal,slow,moist,partial sunlight,keep soil moist,balanced,https://bs.plantnet.org/image/o/5797c1af7e21acd12514f68460b9cae818299104
heliopsis,moderate,loamy,full sunlight,keep soil moist,no,https://upload.wikimedia.org/wikipedia/commons/e/e4/Heliopsis_helianthoides.jpg
henbane,moderate,loamy,full sunlight,water when soil feels dry,organic,https://bs.plantnet.org/image/o/fef309112ec06db461c84abaae7166d64ef11a23
heracleum (cow parsnip),fast,loamy,partial sunlight,keep soil moist,balanced,
hops vine,fast,well-drained,full sunlight,keep soil moist,low-nitrogen,
indian grass,moderate,loamy,full sunlight,water when soil is dry,low-nitrogen,
islander (agave),slow,well-drained,full sunlight,let soil dry between watering,no,
ironwood,slow,loamy,full sunlight,water when soil is dry,organic,https://bs.plantnet.org/image/o/8a1b6dc4f662ddfa04164fa9e1f56dd1bdcf7c94
jerusalem artichoke,fast,loamy,full sunlight,water when soil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Sunroot_top.jpg/500px-Sunroot_top.jpg
larkspur,moderate,loamy,partial sunlight,keep soil moist,balanced,
laelia orchid,slow,well-drained,indirect sunlight,keep soil consistently moist,no,
lamb's ear,moderate,sandy,partial sunlight,keep soil slightly moist,no,
lavender (english),moderate,well-drained,full sunlight,let soil dry between watering,balanced,
ligustrum,fast,loamy,partial sunlight,water when topsoil is dry,low-nitrogen,
lilac tree,slow,loamy,partial sunlight,water weekly,balanced,
